Date,Product_ID,Units_Sold,Inventory_Level,Unit_Price,Fuel_Price_Index,Weather_Condition,Shipping_Delay_Days,Lead_Time_Days,Delay_Risk
2025-01-01,3,269,329,28.58,1.2,1,6,5,True
2025-01-02,4,209,948,39.49,1.48,2,6,8,True
2025-01-03,2,218,801,45.2,1.42,1,4,9,True
2025-01-04,4,240,168,13.91,1.29,4,1,4,False
2025-01-05,4,43,265,37.82,1.0,3,2,8,False
2025-01-06,1,263,307,23.81,1.22,1,2,5,False
2025-01-07,2,147,458,40.86,1.35,0,6,2,True
2025-01-08,2,112,184,42.41,1.06,4,3,6,True
2025-01-09,2,152,333,55.53,1.2,3,4,8,True
2025-01-10,4,74,514,30.52,1.1,4,5,6,True
2025-01-11,3,177,440,36.88,1.17,1,1,2,False
2025-01-12,2,48,672,23.41,1.01,2,0,6,False
2025-01-13,4,230,390,24.33,1.06,2,2,9,False
2025-01-14,1,173,771,12.3,1.23,0,1,3,False
2025-01-15,3,241,934,24.3,1.45,0,3,3,True
2025-01-16,1,134,559,13.19,1.25,3,3,2,True
2025-01-17,3,177,253,58.2,1.23,2,5,2,True
2025-01-18,4,278,585,41.21,1.39,1,4,5,True
2025-01-19,0,270,334,18.66,1.13,4,3,6,True
2025-01-20,3,141,399,15.84,1.05,4,3,8,True
2025-01-21,1,282,165,28.51,1.1,2,5,7,True
2025-01-22,4,68,259,25.38,1.4,2,5,4,True
2025-01-23,3,96,3,23.96,1.34,4,2,9,False
2025-01-24,0,146,887,33.41,1.05,3,2,2,False
2025-01-25,0,216,118,55.64,1.33,4,3,9,True
2025-01-26,2,240,995,38.4,1.47,0,6,5,True
2025-01-27,2,110,922,36.06,1.02,1,5,2,True
2025-01-28,1,27,469,50.33,1.31,2,6,8,True
2025-01-29,3,51,469,10.2,1.19,2,4,9,True
2025-01-30,3,288,784,19.87,1.25,3,2,2,False
2025-01-31,2,210,492,34.81,1.26,0,2,3,False
2025-02-01,3,182,737,45.27,1.39,4,5,7,True
2025-02-02,3,80,863,34.25,1.28,0,6,6,True
2025-02-03,0,283,499,18.19,1.3,0,3,7,True
2025-02-04,2,114,69,56.5,1.17,3,4,9,True
2025-02-05,4,60,693,26.43,1.06,3,6,2,True
2025-02-06,2,168,864,49.41,1.34,4,6,6,True
2025-02-07,4,223,775,54.57,1.0,4,3,5,True
2025-02-08,0,286,369,27.32,1.16,1,0,9,False
2025-02-09,1,21,180,52.27,1.11,0,0,2,False
2025-02-10,3,197,995,45.54,1.19,4,6,7,True
2025-02-11,0,213,4,55.21,1.16,3,5,4,True
2025-02-12,3,215,196,22.57,1.35,1,4,7,True
2025-02-13,1,268,46,56.56,1.13,1,0,3,False
2025-02-14,1,231,969,13.27,1.28,3,5,4,True
2025-02-15,0,172,551,49.68,1.23,4,4,9,True
2025-02-16,1,177,633,31.78,1.4,3,0,3,False
2025-02-17,4,158,646,18.89,1.21,4,1,2,False
2025-02-18,1,240,139,13.97,1.43,3,2,7,False
2025-02-19,3,292,861,29.48,1.0,3,5,9,True
2025-02-20,3,173,664,29.47,1.3,2,6,2,True
