Date,Product_ID,Units_Sold,Inventory_Level,Unit_Price,Fuel_Price_Index,Weather_Condition,Shipping_Delay_Days,Lead_Time_Days
01-01-2025,PROD_004,269,329,28.58,1.2,Cloudy,6,5
02-01-2025,PROD_005,209,948,39.49,1.48,Rainy,6,8
03-01-2025,PROD_003,218,801,45.2,1.42,Cloudy,4,9
04-01-2025,PROD_005,240,168,13.91,1.29,Snow,1,4
05-01-2025,PROD_005,43,265,37.82,1,Storm,2,8
06-01-2025,PROD_002,263,307,23.81,1.22,Cloudy,2,5
07-01-2025,PROD_003,147,458,40.86,1.35,Sunny,6,2
08-01-2025,PROD_003,112,184,42.41,1.06,Snow,3,6
09-01-2025,PROD_003,152,333,55.53,1.2,Storm,4,8
10-01-2025,PROD_005,74,514,30.52,1.1,Snow,5,6
11-01-2025,PROD_004,177,440,36.88,1.17,Cloudy,1,2
12-01-2025,PROD_003,48,672,23.41,1.01,Rainy,0,6
13-01-2025,PROD_005,230,390,24.33,1.06,Rainy,2,9
14-01-2025,PROD_002,173,771,12.3,1.23,Sunny,1,3
15-01-2025,PROD_004,241,934,24.3,1.45,Sunny,3,3
16-01-2025,PROD_002,134,559,13.19,1.25,Storm,3,2
17-01-2025,PROD_004,177,253,58.2,1.23,Rainy,5,2
18-01-2025,PROD_005,278,585,41.21,1.39,Cloudy,4,5
19-01-2025,PROD_001,270,334,18.66,1.13,Snow,3,6
20-01-2025,PROD_004,141,399,15.84,1.05,Snow,3,8
21-01-2025,PROD_002,282,165,28.51,1.1,Rainy,5,7
22-01-2025,PROD_005,68,259,25.38,1.4,Rainy,5,4
23-01-2025,PROD_004,96,3,23.96,1.34,Snow,2,9
24-01-2025,PROD_001,146,887,33.41,1.05,Storm,2,2
25-01-2025,PROD_001,216,118,55.64,1.33,Snow,3,9
26-01-2025,PROD_003,240,995,38.4,1.47,Sunny,6,5
27-01-2025,PROD_003,110,922,36.06,1.02,Cloudy,5,2
28-01-2025,PROD_002,27,469,50.33,1.31,Rainy,6,8
29-01-2025,PROD_004,51,469,10.2,1.19,Rainy,4,9
30-01-2025,PROD_004,288,784,19.87,1.25,Storm,2,2
31-01-2025,PROD_003,210,492,34.81,1.26,Sunny,2,3
01-02-2025,PROD_004,182,737,45.27,1.39,Snow,5,7
02-02-2025,PROD_004,80,863,34.25,1.28,Sunny,6,6
03-02-2025,PROD_001,283,499,18.19,1.3,Sunny,3,7
04-02-2025,PROD_003,114,69,56.5,1.17,Storm,4,9
05-02-2025,PROD_005,60,693,26.43,1.06,Storm,6,2
06-02-2025,PROD_003,168,864,49.41,1.34,Snow,6,6
07-02-2025,PROD_005,223,775,54.57,1,Snow,3,5
08-02-2025,PROD_001,286,369,27.32,1.16,Cloudy,0,9
09-02-2025,PROD_002,21,180,52.27,1.11,Sunny,0,2
10-02-2025,PROD_004,197,995,45.54,1.19,Snow,6,7
11-02-2025,PROD_001,213,4,55.21,1.16,Storm,5,4
12-02-2025,PROD_004,215,196,22.57,1.35,Cloudy,4,7
13-02-2025,PROD_002,268,46,56.56,1.13,Cloudy,0,3
14-02-2025,PROD_002,231,969,13.27,1.28,Storm,5,4
15-02-2025,PROD_001,172,551,49.68,1.23,Snow,4,9
16-02-2025,PROD_002,177,633,31.78,1.4,Storm,0,3
17-02-2025,PROD_005,158,646,18.89,1.21,Snow,1,2
18-02-2025,PROD_002,240,139,13.97,1.43,Storm,2,7
